#time step 
#_initial values (t,x[0],x[1])
0.000000 2.000000 5.000000 
0.100000 2.489190 4.775803 
0.200000 2.953599 4.504784 
0.300000 3.388675 4.189638 
0.400000 3.790159 3.833497 
0.500000 4.154124 3.439894 
0.600000 4.477018 3.012730 
0.700000 4.755692 2.556234 
0.800000 4.987437 2.074924 
0.900000 5.170007 1.573557 
1.000000 5.301644 1.057088 
1.100000 5.381091 0.530615 
1.200000 5.407607 -0.000666 
1.300000 5.380972 -0.531518 
1.400000 5.301492 -1.056708 
1.500000 5.169992 -1.571065 
1.600000 4.987809 -2.069527 
1.700000 4.756780 -2.547194 
1.800000 4.479221 -2.999374 
1.900000 4.157903 -3.421630 
2.000000 3.796031 -3.809822 
2.100000 3.397202 -4.160152 
2.200000 2.965378 -4.469198 
2.300000 2.504840 -4.733946 
2.400000 2.020152 -4.951824 
2.500000 1.516109 -5.120725 
2.600000 0.997695 -5.239026 
2.700000 0.470029 -5.305606 
2.800000 -0.061680 -5.319854 
2.900000 -0.592192 -5.281679 
3.000000 -1.116281 -5.191505 
3.100000 -1.628790 -5.050273 
3.200000 -2.124681 -4.859423 
3.300000 -2.599084 -4.620888 
3.400000 -3.047347 -4.337068 
3.500000 -3.465082 -4.010809 
3.600000 -3.848202 -3.645374 
3.700000 -4.192971 -3.244410 
3.800000 -4.496032 -2.811912 
3.900000 -4.754445 -2.352182 
4.000000 -4.965713 -1.869789 
4.100000 -5.127806 -1.369519 
4.200000 -5.239185 -0.856332 
4.300000 -5.298811 -0.335311 
4.400000 -5.306158 0.188391 
4.500000 -5.261216 0.709595 
4.600000 -5.164494 1.223157 
4.700000 -5.017009 1.724011 
4.800000 -4.820280 2.207222 
4.900000 -4.576312 2.668036 
5.000000 -4.287571 3.101924 
5.100000 -3.956967 3.504629 
5.200000 -3.587817 3.872208 
5.300000 -3.183817 4.201068 
5.400000 -2.749002 4.488003 
5.500000 -2.287708 4.730229 
5.600000 -1.804526 4.925403 
5.700000 -1.304259 5.071653 
5.800000 -0.791874 5.167594 
5.900000 -0.272449 5.212338 
6.000000 0.248873 5.205509 
6.100000 0.766937 5.147238 
6.200000 1.276626 5.038168 
6.300000 1.772914 4.879444 
6.400000 2.250913 4.672701 
6.500000 2.705923 4.420049 
6.600000 3.133477 4.124049 
6.700000 3.529386 3.787689 
6.800000 3.889781 3.414353 
6.900000 4.211148 3.007790 
7.000000 4.490366 2.572069 
7.100000 4.724735 2.111548 
7.200000 4.912002 1.630823 
7.300000 5.050385 1.134685 
7.400000 5.138589 0.628071 
7.500000 5.175818 0.116017 
7.600000 5.161780 -0.396394 
7.700000 5.096696 -0.904081 
